case,split,ops,edges,tensors,tensor_bytes_sum,ddr_tensor_bytes_sum,ddr_tensor_count,l1_tensor_count,ub_tensor_count,source_sha256
case_013,holdout,3202,8126,4190,8581120,2527232,1234,2956,0,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c
case_014,holdout,38666,108272,40287,193330034,9932740,2961,32854,4472,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd
case_015,holdout,1290,3107,1501,5017738,884614,277,302,922,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253
case_016,development,18008,43019,18020,360593104,393218,13,12,17995,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef
case_017,validation,1758,4245,2015,3039622,643862,385,221,1409,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c
case_018,validation,3285,8718,3717,12182654,1592848,558,2498,661,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a
case_019,validation,766,1841,854,1707988,186984,119,198,537,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429
case_020,holdout,7584,18048,7872,32243712,2359296,576,0,7296,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4
case_021,holdout,4450,12820,4900,53862400,3338240,530,4370,0,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37
case_022,holdout,1567,3720,1705,2237688,213686,211,61,1433,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7
case_023,holdout,1202,2869,1336,2982630,443444,191,133,1012,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739
case_024,development,5972,14255,5984,119935528,393218,13,12,5959,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec
case_025,holdout,23997,63990,26666,61479936,8217600,5335,10667,10664,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb
case_026,validation,769,1849,871,4254342,528854,133,215,523,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b
case_027,validation,1800,5024,2160,21381120,2039808,376,1784,0,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b
case_028,holdout,19944,51822,20151,104410368,5908608,360,19791,0,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212
case_029,holdout,1113,2772,1281,1549338,430164,252,0,1029,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b
case_030,holdout,11248,30954,11940,45791096,2394060,1178,9164,1598,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90
case_031,validation,6805,18435,7365,20168404,2185040,670,4167,2528,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82
case_032,validation,1035,2469,1186,1537524,293088,208,154,824,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385
case_033,holdout,4069,11073,4572,24461520,2972910,604,3226,742,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b
case_034,holdout,4545,11907,5144,16713330,2280386,800,2887,1457,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6
case_035,holdout,4237,10712,4538,4771216,410854,380,704,3454,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2
case_036,holdout,4001,9602,4802,19663104,6554752,1601,1601,1600,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21
case_037,holdout,980,2740,1160,4341760,614400,200,960,0,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3
case_038,holdout,6843,18941,7649,20021784,2802950,936,5865,848,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac
case_039,holdout,5966,17182,6612,30195712,4489216,716,5896,0,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed
case_040,holdout,3381,8621,3647,9653756,911238,298,963,2386,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57
case_041,holdout,18149,51024,19210,70537108,4949980,1555,15683,1972,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491
case_042,validation,5345,14855,5853,24034948,2388964,612,4507,734,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5
case_043,holdout,9756,25867,10140,12920912,1431122,447,2720,6973,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c
case_044,development,1436,3686,1497,3018176,975456,72,1425,0,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e
case_045,holdout,1787,4253,1855,7598080,557056,136,0,1719,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793
case_046,validation,1058,2708,1116,5227712,1061472,66,1050,0,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659
case_047,development,13988,37206,14259,5435148,463942,278,2988,10993,7c6328650b8e50e4d15a0ddf1ad0715a40d64d51f3c86c2c3b9c22e4cbb6a83f
case_048,development,1900,4961,2069,2436332,414790,172,544,1353,9932aaca8ab23d020c5f5102fa3d436dd3cdf3ca8d1ee458d4c235c556c11764
case_049,holdout,4465,11684,4609,4064356,152540,162,926,3521,444854fe118a208ddfa10fa0ddd48d7b5e6cfd3780a8049f2145fc1a9b674a08
case_050,development,4781,12462,4969,3949894,319376,226,964,3779,3b6b1abd65fbfbb2a40972bdbd643c43107c4b232512741740ff351c366367aa
case_051,development,1429,3398,1441,29099090,393218,13,12,1416,884e8b12ac1f7a9b569958909680e8c2f6055966a59c9f929ffd5cee48aae43b
case_052,holdout,1347,3272,1606,3835682,810204,339,455,812,6196e8c72258ff26d0ab4dcee50c4f5b39f78142729a2223cfcbd4a9181ab7d0
case_053,holdout,12046,31833,12377,18735136,2995288,376,4016,7985,f3593af4c9aa960385c5fdfaf8ad98c396f05746d9e1fe6cc731adeae7019dbc
case_054,holdout,16133,42855,16484,14319950,1606276,382,3588,12514,4c874b67351e0a6d336af3117c1289099c54993581f90de11e8f49fb33bb9828
case_055,holdout,1468,3467,1641,3505018,625810,232,208,1201,1121ee10f030be119d0930fe518d63aedd8cf65167627c7f66f1a7ffffd9d134
case_056,holdout,7936,20894,8157,5660336,221600,258,1550,6349,fda213426382a3810afd172eadc10b9221330b906888537cb13b16369be3369d
case_057,holdout,1053,2563,1180,1933158,342460,188,134,858,89778038db7db919a13c5885aa555c8ae054a3f43845c73fe346b6123d12a525
case_058,development,17886,52347,18942,82182144,7667712,1311,17631,0,95027788c05772259091802889106c7104efdecdaaabd002ed11a87f8f2f209d
case_059,validation,3168,9088,3520,13697024,1343488,416,3104,0,50b062952359dc9aa22880856093e8ec7a69c66d358607de49fd5f559ac232e9
case_060,validation,6086,16435,6752,21107010,2099006,805,4126,1821,29889cfaea8c831c2620d19191abf871694e61d4850ced26a9710847096c1e96
case_061,holdout,1450,3505,1709,2205930,544188,335,494,880,5da175170152a6beab3dcbda84a0910f72b079091c2ad1fdd489aaf5e31fcaf3
case_062,validation,23999,58906,28361,56962560,13401600,4363,13090,10908,fa99943eab55b174047687337a4bcd81c3967e052e22eaabf3fb7740914df2b4
case_063,holdout,8995,22078,10629,21345792,5021184,1635,4906,4088,511c05c1ec9c19bb3cc108e173a46e7952b92fca9b1ac21728c43713056d429d
case_064,development,972,2550,1034,325708,37414,66,245,723,871f65b73fc1da6a48501998fbfde6684fc78e5dd022ddc68085d1384d2e2280
case_065,validation,914,2164,1067,1495780,316202,210,181,676,23342b7c3e75f58cec3d0bdaff89bf8d6f18de4930d35ec2ceade91670f0a400
case_066,holdout,6181,16324,6362,6524788,1107034,219,1350,4793,30e61f8760d7d595b0fc4ad76262b179c72509a0cb5b2be72333ebd9b926b465
case_067,development,8996,23246,9117,67205888,6048128,192,8925,0,f49b5087689e18c6bf231843f8f3bbaca238a547ea5309b2492c76d5f170b542
case_068,holdout,5853,15148,6260,9936512,2771250,502,1293,4465,dfd9a58ef9d26a8a4567026b50af8b4499d87eebb3d98f8208b909b11e963c6d
case_069,holdout,1074,2844,1110,976780,126054,42,243,825,9632392d98cfc04291ba0546accf1f4c3ede8ff71befd3cd0ae67caf27659e52
case_070,holdout,1437,3424,1630,2528198,419964,246,399,985,b645c07133b0d98a63ab192cdfe8b35bdc089ad49eb5a8f1e476196344b97aa0
case_071,holdout,781,2063,816,769420,121446,40,188,588,437cc74cae9e0fc0cb89b05403c62062ceff8d5bc2224c8834c519e69524e897
case_072,holdout,31387,88639,32624,202538656,11103184,1721,24316,6587,09ecc7be74ccdd06b00843fa6cd0696fb76ed623ca2ea3c9f36590450bc2749f
case_073,holdout,4964,12814,5053,15650048,4041088,128,4925,0,aabaff04d990bac77150639be7f410acc46db644d19fd046367dc70725aea7f9
case_074,holdout,4269,11541,4833,22558598,3776728,660,3261,912,a8a94915cbac32e098d7c54cfc73af8ea2050eb51199b949a92cfe18ae62162e
case_075,holdout,7684,20378,7953,12892812,1837190,274,1826,5853,5c24beddea6d09e1df3c8f8843d3593b90affb117ba38450fa9bea8a8db3351c
case_076,holdout,35076,99916,36815,100001112,4270674,2548,31486,2781,543a082b17fe8de0dbab92b19f27335e4c8d1db389f75251378f1f4704368307
case_077,holdout,4872,12652,5208,10168792,2141360,386,1386,3436,b14c3c29f9427de1db1d12c6ebf5d15914a99299298d20a908d97285947e67b6
case_078,holdout,1094,2812,1156,9531648,2345088,70,1086,0,d30ea13a65ed4d85fd62753d3e300a04c17fdbe592b6ca19c52a3a744e4affdd
case_079,holdout,20130,58980,21252,245194752,9351168,1410,19842,0,ee341b011b5ff7f1c975fd6ba8f876217612ecd8d9e4e2127e617cecac1edad5
case_080,holdout,1395,3888,1674,8380416,1978368,297,1377,0,20b2fa1e14bf879ac7c5b0321f69731c8a8102bb65bbd96d7543f54f4974f98c
case_081,holdout,4505,11220,5185,6271130,1741140,1020,0,4165,7c642799a54f8083f56c74d1e260ec010e3a83c37702770c862d722408c7a41e
case_082,validation,4209,11187,4298,6182092,592006,96,902,3300,f230fbc200ad75797f3024f84431d1d26f7747d6a284378ee83eabde77b7e70c
case_083,holdout,3956,10206,4037,14907584,1438304,112,3925,0,26bebaecfa0ed9c4bcf57127779a198c367a5576eb7b40b9c56cc343621c5549
case_084,holdout,14001,33387,18309,51493524,13236330,5385,5385,7539,1af22ac8dd69090ed25be62ae1bbb18a922ce99a8cffb2be4f89e7a1234794ee
case_085,validation,19993,53243,20240,27000268,1689734,256,4024,15960,b63169e9cd0f21dc2da6617e7138472e95937465c703b7e4bf4dbc80125ed4f6
case_086,holdout,5372,14290,5462,4331916,338022,98,1113,4251,ef91fda2692fd0add63db3c7f677e4e03c8d115d97db3cb959cffc62fff2434a
case_087,holdout,28666,77339,29569,54425176,5919098,1110,10957,17502,a234839f266f63270c7d42c558eabd68085d415029ce73bfac9d3fc47d58de83
case_088,holdout,3577,9270,3811,6726570,1829798,268,894,2649,2ff71575ba33875431f54823fc1f2214e018edcfc9d568edfb7c47b0f264b825
case_089,validation,5254,13628,5348,9201920,566400,134,5214,0,9561e0638071147e99d937b802f61f8a67fe2b96985159c174b47a777fd6ce84
case_090,holdout,1744,4502,1811,6423552,2228352,80,1731,0,a91d3ad4c40e53d5731b81b3eb72bcf922f5ef06094e860b5c5729619cb2d312
case_091,holdout,33497,96492,34927,104722708,6577656,1943,31140,1844,6fa7e61f09003382ba36061d74d4be90ed3acbe750a3d46c3b6d1e1fc27579f3
case_092,validation,17942,46392,18134,61623488,3256928,334,17800,0,ddb267b7178d1b240f76fb7ed508799fbc7621b45156064b2a229c5c0d90996d
case_093,holdout,901,2285,1181,2418688,714752,349,832,0,3a68ca960cc21b10a94b0524f5c16d2ee4995f2e5a75e667d58099571a7cdc36
case_094,holdout,791,1925,895,3055460,526692,144,266,485,06e7b0eb1eecb9a98b6691dfe5f8039c6f7b21ab0f3ea8e6a072ade002a68fec
case_095,holdout,6006,14322,7854,65465400,11355036,2310,2310,3234,99875b1d3025c71f87e04818e28c08915928813f495d080ae6436879f6cb540f
case_096,holdout,1362,3200,1476,2631150,219558,164,266,1046,c26df1f4c6e282279a2f86c24d13be04e5c0e8b24b36149899bf7e7a91cf579a
case_097,holdout,7488,21568,8320,90308608,5046272,896,7424,0,7dc5c8ebf92052dbdd1bf59794a8fcef74e3ab3c59d5f0b4e753bf38a741ffaf
case_098,holdout,1553,3615,1700,8289012,697994,188,104,1408,8cc92ed83866234532487abacb106e0298a00cf309ef75fa12e413bfb17d58f8
case_099,holdout,7054,19599,7610,17250788,2534036,758,6007,845,6a07bc2eba4657ec873f015cb53404696202df8fe912a94340cbdc674cbd7938
case_100,development,1654,4014,1825,4788756,454598,260,186,1379,bb78167d482a9e1663bb947945def049c2d66392c3897613ce5cb145d3a2eb19
