case,position,n_tensors,median_tensor_kib,total_tensor_mib
case_017,DDR,385,2.0,0.6140346527099609
case_017,L1,221,2.0,0.65234375
case_017,UB,1409,0.125,1.6324310302734375
case_018,DDR,558,1.125,1.5190582275390625
case_018,L1,2498,4.0,8.713134765625
case_018,UB,661,0.046875,1.3860912322998047
case_019,DDR,119,1.5,0.17832183837890625
case_019,L1,198,1.5,0.437042236328125
case_019,UB,537,2.0,1.0135002136230469
case_020,DDR,576,4.0,2.25
case_020,UB,7296,4.0,28.5
case_021,DDR,530,6.0,3.18359375
case_021,L1,4370,12.0,48.18359375
case_022,DDR,211,1.0,0.20378684997558594
case_022,L1,61,2.0,0.102783203125
case_022,UB,1433,1.0,1.8274555206298828
case_023,DDR,191,2.0,0.4229011535644531
case_023,L1,133,4.0,0.613677978515625
case_023,UB,1012,2.0,1.8078784942626953
case_024,DDR,13,32.0,0.3750019073486328
case_024,L1,12,32.0,0.375
case_024,UB,5959,32.0,113.62943077087402
case_025,DDR,5335,1.5,7.8369140625
case_025,L1,10667,3.0,23.4580078125
case_025,UB,10664,3.0,27.3369140625
case_026,DDR,133,2.0,0.5043544769287109
case_026,L1,215,3.125,0.6576385498046875
case_026,UB,523,4.0,2.895263671875
case_027,DDR,376,6.0,1.9453125
case_027,L1,1784,12.0,18.4453125
case_028,DDR,360,12.0,5.6348876953125
case_028,L1,19791,3.0,93.9385986328125
case_029,DDR,252,2.0,0.4102363586425781
case_029,UB,1029,2.0,1.0673274993896484
case_030,DDR,1178,2.0,2.283153533935547
case_030,L1,9164,4.0,41.3291015625
case_030,UB,1598,0.001953125,0.057537078857421875
case_031,DDR,670,3.0,2.0838165283203125
case_031,L1,4167,4.0,14.701934814453125
case_031,UB,2528,0.5,2.4483375549316406
case_032,DDR,208,2.0,0.279510498046875
case_032,L1,154,2.0,0.30670928955078125
case_032,UB,824,0.001953125,0.8800773620605469
case_033,DDR,604,4.5,2.8351879119873047
case_033,L1,3226,6.0,19.075225830078125
case_033,UB,742,1.0,1.4179096221923828
case_034,DDR,800,3.0,2.174745559692383
case_034,L1,2887,4.5,10.947265625
case_034,UB,1457,0.001953125,2.8170623779296875
case_035,DDR,380,0.5,0.39182090759277344
case_035,L1,704,1.0,0.830596923828125
case_035,UB,3454,0.5,3.327768325805664
case_036,DDR,1601,4.0,6.2510986328125
case_036,L1,1601,4.0,6.2510986328125
case_036,UB,1600,4.0,6.25
case_037,DDR,200,3.0,0.5859375
case_037,L1,960,4.0,3.5546875
case_038,DDR,936,3.0,2.6731014251708984
case_038,L1,5865,3.0,15.15771484375
case_038,UB,848,2.0,1.2634449005126953
case_039,DDR,716,8.0,4.28125
case_039,L1,5896,4.0,24.515625
case_040,DDR,298,2.0,0.8690242767333984
case_040,L1,963,2.0,1.90814208984375
case_040,UB,2386,0.75,6.429372787475586
case_041,DDR,1555,3.0,4.720668792724609
case_041,L1,15683,4.0,61.8369140625
case_041,UB,1972,0.001953125,0.7118453979492188
case_042,DDR,612,3.0,2.2782936096191406
case_042,L1,4507,4.0,17.733673095703125
case_042,UB,734,0.125,2.9095458984375
case_043,DDR,447,3.0,1.3648242950439453
case_043,L1,2720,2.0,5.0847625732421875
case_043,UB,6973,0.0625,5.87275505065918
case_044,DDR,72,2.0,0.930267333984375
case_044,L1,1425,0.5,1.948089599609375
case_045,DDR,136,4.0,0.53125
case_045,UB,1719,4.0,6.71484375
case_046,DDR,66,8.0,1.012298583984375
case_046,L1,1050,2.0,3.973236083984375
case_047,DDR,278,1.0,0.44244956970214844
case_047,L1,2988,0.5,1.80450439453125
case_047,UB,10993,0.03125,2.9364070892333984
case_048,DDR,172,2.0,0.39557456970214844
case_048,L1,544,2.0,0.87896728515625
case_048,UB,1353,0.125,1.0489253997802734
case_049,DDR,162,0.5,0.14547348022460938
case_049,L1,926,1.0,1.143218994140625
case_049,UB,3521,0.0625,2.5873794555664062
case_050,DDR,226,0.5,0.3045806884765625
case_050,L1,964,0.75,0.721710205078125
case_050,UB,3779,0.046875,2.740621566772461
case_051,DDR,13,32.0,0.3750019073486328
case_051,L1,12,32.0,0.375
case_051,UB,1416,32.0,27.001052856445312
case_052,DDR,339,2.0,0.7726707458496094
case_052,L1,455,4.5,1.7060546875
case_052,UB,812,0.046875,1.1792659759521484
case_053,DDR,376,3.375,2.8565292358398438
case_053,L1,4016,1.125,10.744735717773438
case_053,UB,7985,0.046875,4.265953063964844
case_054,DDR,382,2.0,1.5318641662597656
case_054,L1,3588,0.75,6.39886474609375
case_054,UB,12514,0.046875,5.725839614868164
case_055,DDR,232,2.0,0.5968189239501953
case_055,L1,208,2.0,0.73779296875
case_055,UB,1201,1.0,2.0080337524414062
case_056,DDR,258,0.5,0.211334228515625
case_056,L1,1550,1.0,1.559722900390625
case_056,UB,6349,0.0625,3.6270599365234375
case_057,DDR,188,1.0,0.3265953063964844
case_057,L1,134,1.0,0.146026611328125
case_057,UB,858,0.5,1.370981216430664
case_058,DDR,1311,4.0,7.3125
case_058,L1,17631,4.0,71.0625
case_059,DDR,416,4.0,1.28125
case_059,L1,3104,4.0,11.78125
case_060,DDR,805,2.0,2.001768112182617
case_060,L1,4126,3.0,11.6885986328125
case_060,UB,1821,4.0,6.438846588134766
case_061,DDR,335,1.0,0.5189781188964844
case_061,L1,494,2.0,1.14794921875
case_061,UB,880,0.001953125,0.4368114471435547
case_062,DDR,4363,1.5,12.78076171875
case_062,L1,13090,1.5,25.564453125
case_062,UB,10908,1.5,15.978515625
case_063,DDR,1635,1.5,4.78857421875
case_063,L1,4906,1.5,9.580078125
case_063,UB,4088,1.5,5.98828125
case_064,DDR,66,0.5,0.03568077087402344
case_064,L1,245,0.5,0.108856201171875
case_064,UB,723,0.03125,0.16608238220214844
case_065,DDR,210,0.75,0.30155372619628906
case_065,L1,181,2.0,0.4759674072265625
case_065,UB,676,1.0,0.6489658355712891
case_066,DDR,219,2.25,1.0557498931884766
case_066,L1,1350,0.75,2.3741455078125
case_066,UB,4793,0.0625,2.7926273345947266
case_067,DDR,192,16.0,5.7679443359375
case_067,L1,8925,4.0,58.3245849609375
case_068,DDR,502,2.0,2.6428699493408203
case_068,L1,1293,1.0,3.4727249145507812
case_068,UB,4465,0.125,3.3606014251708984
case_069,DDR,42,2.25,0.12021446228027344
case_069,L1,243,1.125,0.335601806640625
case_069,UB,825,0.046875,0.47571372985839844
case_070,DDR,246,2.0,0.4005088806152344
case_070,L1,399,2.0,0.934814453125
case_070,UB,985,1.0,1.075754165649414
case_071,DDR,40,2.25,0.11581993103027344
case_071,L1,188,1.125,0.271881103515625
case_071,UB,588,0.046875,0.34607505798339844
case_072,DDR,1721,8.0,10.588821411132812
case_072,L1,24316,8.0,180.64005279541016
case_072,UB,6587,0.046875,1.9270401000976562
case_073,DDR,128,4.0,3.8538818359375
case_073,L1,4925,1.0,11.0711669921875
case_074,DDR,660,8.0,3.6017684936523438
case_074,L1,3261,4.0,15.00390625
case_074,UB,912,0.001953125,2.9078807830810547
case_075,DDR,274,4.0,1.7520809173583984
case_075,L1,1826,2.0,4.6065673828125
case_075,UB,5853,0.0625,5.936895370483398
case_076,DDR,2548,2.0,4.072832107543945
case_076,L1,31486,3.0,91.0673828125
case_076,UB,2781,0.001953125,0.22827720642089844
case_077,DDR,386,4.0,2.0421600341796875
case_077,L1,1386,0.75,4.936431884765625
case_077,UB,3436,0.140625,2.7191238403320312
case_078,DDR,70,12.0,2.2364501953125
case_078,L1,1086,3.0,6.8536376953125
case_079,DDR,1410,6.0,8.91796875
case_079,L1,19842,12.0,224.91796875
case_080,DDR,297,8.0,1.88671875
case_080,L1,1377,4.0,6.10546875
case_081,DDR,1020,2.0,1.6604804992675781
case_081,UB,4165,2.0,4.320135116577148
case_082,DDR,96,4.0,0.5645809173583984
case_082,L1,902,2.0,2.0987548828125
case_082,UB,3300,0.0625,3.2323665618896484
case_083,DDR,112,8.0,1.371673583984375
case_083,L1,3925,2.0,12.845306396484375
case_084,DDR,5385,3.0,12.623147964477539
case_084,L1,5385,3.0,17.35400390625
case_084,UB,7539,4.5,19.13089942932129
case_085,DDR,256,4.0,1.6114559173583984
case_085,L1,4024,2.0,8.9093017578125
case_085,UB,15960,0.0625,15.228704452514648
case_086,DDR,98,2.25,0.32236289978027344
case_086,L1,1113,1.125,1.435821533203125
case_086,UB,4251,0.046875,2.3730525970458984
case_087,DDR,1110,4.5,5.644891738891602
case_087,L1,10957,4.5,35.93049621582031
case_087,UB,17502,0.0625,10.32850456237793
case_088,DDR,268,6.0,1.7450313568115234
case_088,L1,894,1.0,2.38311767578125
case_088,UB,2649,0.25,2.2868080139160156
case_089,DDR,134,4.0,0.5401611328125
case_089,L1,5214,1.0,8.2354736328125
case_090,DDR,80,3.0,2.1251220703125
case_090,L1,1731,0.75,4.0008544921875
case_091,DDR,1943,3.0,6.272941589355469
case_091,L1,31140,3.0,93.36181640625
case_091,UB,1844,0.001953125,0.23659896850585938
case_092,DDR,334,8.0,3.106048583984375
case_092,L1,17800,2.0,55.662689208984375
case_093,DDR,349,2.0,0.681640625
case_093,L1,832,2.0,1.625
case_094,DDR,144,4.5,0.5022926330566406
case_094,L1,266,4.5,1.035919189453125
case_094,UB,485,4.0,1.375701904296875
case_095,DDR,2310,6.0,10.82900619506836
case_095,L1,2310,6.0,18.94921875
case_095,UB,3234,18.0,32.65444564819336
case_096,DDR,164,0.65625,0.20938682556152344
case_096,L1,266,1.0,0.40557861328125
case_096,UB,1046,2.0,1.8942947387695312
case_097,DDR,896,6.0,4.8125
case_097,L1,7424,12.0,81.3125
case_098,DDR,188,4.0,0.6656589508056641
case_098,L1,104,4.0,0.5986328125
case_098,UB,1408,4.0,6.640726089477539
case_099,DDR,758,4.0,2.416645050048828
case_099,L1,6007,2.0,13.85595703125
case_099,UB,845,0.001953125,0.1790313720703125
case_100,DDR,260,0.5,0.43353843688964844
case_100,L1,186,1.5,0.607666015625
case_100,UB,1379,0.5,3.5257091522216797
